Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T002_001,SE_T002_002,SE_T002_003,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T014_001,SE_T014_002,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,SE_T014_008,SE_T014_009,SE_T014_010,SE_T014_011,SE_T014_012,SE_T014_013,SE_T014_014,SE_T014_015,SE_T014_016,SE_T014_017,SE_T056_001,SE_T056_002,SE_T056_003,SE_T056_004,SE_T056_005,SE_T056_006,SE_T056_007,SE_T056_008,SE_T056_009,SE_T056_010,SE_T056_011,SE_T056_012,SE_T056_013,SE_T056_014,SE_T056_015,SE_T056_016,SE_T056_017,SE_T057_001,SE_T058_001,SE_T058_002,SE_T058_003,SE_T058_004,SE_T058_005,SE_T058_006,SE_T058_007,SE_T058_008,SE_T058_009,SE_T058_010,SE_T059_001,SE_T060_001,SE_T060_002,SE_T060_003,SE_T060_004,SE_T060_005,SE_T060_006,SE_T060_007,SE_T060_008,SE_T060_009,SE_T060_010,SE_T061_001,SE_T062_001,SE_T068_001,SE_T069_001,SE_T069_002,SE_T069_003,SE_T069_004,SE_T069_005,SE_T069_006,SE_T069_007,SE_T069_008,SE_T069_009,SE_T069_010,SE_T070_001,SE_T071_001,SE_T093_001,SE_T171_001,SE_T171_002,SE_T171_003,SE_T171_004,SE_T171_005,SE_T171_006,SE_T171_007,SE_T171_008,SE_T171_009,SE_T171_010,SE_T171_011
"0110700","32000US0110700","Albertville, AL Micro Area; Alabama","Albertville, Alabama","al","320","00","ACSSF","0007789",,,,,"01",,,,,,,,,,,,,,"10700",,,,,,,,,,,,,,,,,,,,,,,,,,,,94534,167.068,565.841546756201,94534,87423,1981,567,556,20,2324,1663,94534,82324,77841,1976,411,556,20,38,1482,12210,9582,5,156,0,0,2286,181,34461,2700,2649,2584,2904,2465,2174,1821,2009,1472,2452,3207,3365,1830,1168,770,891,39831,39831,40308,31033,36667,,,25101,42539,27133,41443,56598.6245320797,56598.6245320797,57308.4969730494,35855.980861244,40747.9797979798,150884.677419355,,28751.4760147601,48313.5198135198,32316.8286047415,58891.4090358884,49612,67574.0936524454,1950445200,1950445200,1864875800,22481700,8068100,18709700,,15583300,20726500,83151200,1800133700,1623467600,310605500,40352,34461,50,714,4223,7172,5781,6707,4528,2868,1141,1277
"0110760","32000US0110760","Alexander City, AL Micro Area; Alabama","Alexander City, Alabama","al","320","00","ACSSF","0007790",,,,,"01",,,,,,,,,,,,,,"10760",,,,,,,,,,,,,,,,,,,,,,,,,,,,40958,29.95217,1367.44694106691,40958,28778,11248,144,208,0,292,288,40958,39970,28291,11069,138,208,0,0,264,988,487,179,6,0,0,292,24,16338,1818,1354,1276,1113,940,849,915,747,625,1446,1646,1728,826,413,423,219,39395,39395,48823,22944,11553,,,,26250,28060,49125,51750.1101726037,51750.1101726037,59134.3650394229,32000.8565310493,19318.4615384615,0,,0,24890.4761904762,56138.6861313869,59421.9097782686,50512,60068.9916336416,845493300,845493300,704999900,134499600,1255700,,,,1568100,15382000,699455300,682083400,156590600,22058,16338,138,203,2069,3026,2749,2666,1905,1671,839,1072
"0111500","32000US0111500","Anniston-Oxford-Jacksonville, AL Metro Area; Alabama","Anniston-Oxford-Jacksonville, Alabama","al","320","00","ACSSF","0007791",,,,,"01",,,,,,,,,,,,,,"11500",,,,,,,,,,,,,,,,,,,,,,,,,,,,115883,191.2678,605.867678151405,115883,86777,23791,382,1079,6,1221,2627,115883,111901,84592,23561,229,1079,6,27,2407,3982,2185,230,153,0,0,1194,220,45071,4399,3361,2922,2942,2676,2795,2258,2690,1808,4048,4494,4569,2863,1544,972,730,41954,41954,46992,26523,34489,48125,,31223,33281,31331,47514,55559.0401810477,55559.0401810477,60140.9068348369,38093.3811886414,38654.2372881356,154387.2,0,40017.994100295,42351.1304347826,40931.4210061783,60518.5520361991,52511,65008.7654723127,2504101500,2504101500,2059886200,360858600,6841800,38596800,,13566100,24351900,46375300,2032939200,1995769100,478694000,53326,45071,72,937,5550,7056,7552,8570,5347,4521,2753,2713
"0112120","32000US0112120","Atmore, AL Micro Area; Alabama","Atmore, Alabama","al","320","00","ACSSF","0007792",,,,,"01",,,,,,,,,,,,,,"12120",,,,,,,,,,,,,,,,,,,,,,,,,,,,37875,,,37875,23453,12267,1317,40,67,224,507,37875,37095,22950,12245,1313,40,67,27,453,780,503,22,4,0,0,197,54,13536,1903,1408,1162,1153,734,782,735,787,405,991,1029,1034,714,248,254,197,32334,32334,39932,20861,35000,,,,,50799,39800,46106.2869385343,46106.2869385343,54366.9181659896,27993.0605407992,58997.1982758621,0,0,0,44925,57887.4213836478,54156.1518631357,42014,56397.8754828448,624094700,624094700,468371000,116983000,27374700,,,,7727100,9204100,462168600,496414100,117095500,16421,13536,103,193,1301,3357,2408,2114,1569,1390,517,584
"0112220","32000US0112220","Auburn-Opelika, AL Metro Area; Alabama","Auburn-Opelika, Alabama","al","320","00","ACSSF","0007793",,,,,"01",,,,,,,,,,,,,,"12220",,,,,,,,,,,,,,,,,,,,,,,,,,,,153947,253.3957,607.535936073835,153947,107682,35770,203,5576,27,2423,2266,153947,148266,104480,35541,178,5469,11,421,2166,5681,3202,229,25,107,16,2002,100,57901,7669,3625,3562,3451,2535,2853,2701,2532,2300,4116,5336,6348,4404,2217,2408,1844,45056,45056,51434,30342,,51140,,55032,36050,43003,51658,63459.2977668779,63459.2977668779,70438.8841285774,42065.7592513824,29341.2844036697,77518.508725542,0,59909.1101694915,55702.3913043478,63623.6938925681,70491.6414551819,62210,80662.3575086734,3674356800,3674356800,2877217100,593379600,3198200,146587500,,28277100,25623100,86464600,2819313200,2929495500,709321300,65701,57901,353,4199,14688,13672,8377,7575,4062,2341,1128,1506
"0113820","32000US0113820","Birmingham-Hoover, AL Metro Area; Alabama","Birmingham-Hoover, Alabama","al","320","00","ACSSF","0007794",,,,,"01",,,,,,,,,,,,,,"13820",,,,,,,,,,,,,,,,,,,,,,,,,,,,1141309,216.1769,5279.51305411454,1141309,757609,326204,2630,15360,265,22273,16968,1141309,1092809,732702,324757,2210,15287,241,1895,15717,48500,24907,1447,420,73,24,20378,1251,439027,36635,26072,24899,24069,23664,23392,21320,20230,16874,34228,43872,52814,33883,19577,19792,17706,50529,50529,59041,34801,40417,66791,,35467,41165,36602,59714,69843.9947884754,69843.9947884754,79820.5957623793,46770.2479999361,52834.3389529725,89481.030884808,90764.8936170213,44063.4697028174,63127.8215223097,50189.9991902178,80349.1202607651,63934,83353.8112683345,30663399500,30663399500,23797632600,5851940200,59544300,428793100,8531900,228336900,288620400,619796300,23417751100,24481681200,5917988300,507518,439027,1346,11471,76628,76868,59143,70621,49502,45394,19902,28152
"0117980","32000US0117980","Columbus, GA-AL Metro Area (part); Alabama","Columbus, Alabama","al","320","00","ACSSF","0007795",,,,,"01",,,,,,,,,,,,,,"17980",,,,,,,,,,,,,,,,,,,,,,,,,,,,58636,91.4558,641.140341962974,58636,30392,24789,216,435,128,603,2073,58636,55662,28565,24639,216,398,128,50,1666,2974,1827,150,0,37,0,553,407,22333,2496,1657,1660,1333,1613,1557,1205,1195,771,1709,2187,2385,1084,736,542,203,38400,38400,43499,32137,22450,,,,29667,48947,42443,51838.7766981597,51838.7766981597,57201.5094654324,45814.2351348537,31065.306122449,47173.1481481481,0,42836.4806866953,40411.5151515152,58591.7475728155,56343.2548744072,48908,61339.5505774315,1157715400,1157715400,685903300,439954100,1522200,5094700,,9980900,13335800,60349500,641524300,881694700,258254400,26719,22333,54,2167,3720,2976,3578,3357,2200,1930,1028,1323
"0118980","32000US0118980","Cullman, AL Micro Area; Alabama","Cullman, Alabama","al","320","00","ACSSF","0007796",,,,,"01",,,,,,,,,,,,,,"18980",,,,,,,,,,,,,,,,,,,,,,,,,,,,81316,110.658,734.840581500764,81316,77946,899,425,497,19,634,896,81316,77890,75188,843,425,497,15,63,859,3426,2758,56,0,0,4,571,37,31081,3115,2019,2217,2104,2220,1837,2338,1986,1333,2443,2831,2988,1715,616,746,573,39297,39297,39790,32054,16742,30547,,38214,17199,29269,39955,52719.4298767736,52719.4298767736,53196.4615896242,46374.1935483871,40328.6666666667,53076.7441860465,0,37636.2068965517,29584.1145833333,38348.5906040268,53472.185812761,48602,62773.5435769195,1638572600,1638572600,1599617600,10063200,6049300,6846900,,4365800,11360300,28569700,1574702400,1355531900,268181400,37150,31081,83,742,4695,6702,4792,5321,3708,1983,1448,1607
"0119300","32000US0119300","Daphne-Fairhope-Foley, AL Metro Area; Alabama","Daphne-Fairhope-Foley, Alabama","al","320","00","ACSSF","0007797",,,,,"01",,,,,,,,,,,,,,"19300",,,,,,,,,,,,,,,,,,,,,,,,,,,,199510,125.495,1589.78407004202,199510,172441,18594,1355,1338,0,1766,4016,199510,190798,165950,18406,1228,1325,0,305,3584,8712,6491,188,127,13,0,1461,432,75149,4530,4226,4284,4481,3870,4149,3811,4049,3045,6828,7114,9008,5629,3903,2957,3265,51365,51365,53816,26818,97328,42813,,60179,36307,41908,54184,70276.7861182451,70276.7861182451,73253.4687374362,35553.9365246362,82843.5849056604,81095.4301075269,,56785.7894736842,62889.4736842105,53706.7528735632,73753.4313576109,64020,83841.181510261,5281230200,5281230200,4919483200,202764100,43907100,30167500,,21578600,63329700,112139700,4840437700,4207988900,1027282800,107579,75149,405,3296,22258,19728,10783,8502,4128,2707,1478,1864
"0119460","32000US0119460","Decatur, AL Metro Area; Alabama","Decatur, Alabama","al","320","00","ACSSF","0007798",,,,,"01",,,,,,,,,,,,,,"19460",,,,,,,,,,,,,,,,,,,,,,,,,,,,152988,120.4616,1270.01476763599,152988,123988,18357,2502,833,5,2582,4721,152988,142958,117231,18210,2281,833,5,125,4273,10030,6757,147,221,0,0,2457,448,59485,5139,3849,4071,3345,3974,3622,2651,2680,2544,5443,5999,7054,4012,2202,1868,1032,45804,45804,48169,26889,79000,58636,,33542,56875,34880,48847,59030.2983945532,59030.2983945532,61653.4484167518,39876.5206473214,80121.1538461538,67856.1688311688,0,33819.2419825073,62470.8221024259,41575.3834054267,62310.8555346298,56325,69454.712397979,3511417300,3511417300,3017936300,285834900,70827100,20899700,,23200000,92706700,105726200,2944624100,2859311600,624361300,66704,59485,225,1022,7956,11103,11215,10538,8240,4804,1910,2472
