GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0400000US48,48,Texas,26956435,*****,20174403,17563,3221133,5524,128145,4082,1175423,3734,22248,1145,1561683,14243,673400,10221,147528,5439,525872,6743
320M300US4810180,4810180,"Abilene, TX Metro Area; Texas",168774,*****,134966,1276,13492,540,1032,185,2769,233,49,45,11840,1202,4626,583,1134,247,3492,485
320M300US4810860,4810860,"Alice, TX Micro Area; Texas",41486,*****,39442,490,268,109,124,98,171,11,33,41,1257,453,191,128,25,24,166,127
320M300US4811100,4811100,"Amarillo, TX Metro Area; Texas",260495,102,221172,1042,15362,450,1338,185,8229,273,193,42,5971,796,8230,656,1567,359,6663,580
320M300US4811380,4811380,"Andrews, TX Micro Area; Texas",17215,*****,15926,327,351,188,15,25,36,62,0,20,535,343,352,137,32,40,320,132
320M300US4811980,4811980,"Athens, TX Micro Area; Texas",79213,*****,70843,470,5381,323,643,137,515,37,91,78,778,368,962,280,135,97,827,250
320M300US4812420,4812420,"Austin-Round Rock, TX Metro Area; Texas",1942615,*****,1528195,4104,142102,1657,7837,986,102993,1377,1225,321,98624,3959,61639,2566,11096,1272,50543,2438
320M300US4813060,4813060,"Bay City, TX Micro Area; Texas",36719,*****,28199,934,3909,264,109,110,778,9,86,90,2393,785,1245,542,182,126,1063,536
320M300US4813140,4813140,"Beaumont-Port Arthur, TX Metro Area; Texas",406506,*****,283617,924,98572,754,1427,273,10276,407,137,50,5404,801,7073,832,1648,521,5425,669
320M300US4813300,4813300,"Beeville, TX Micro Area; Texas",32706,*****,28220,378,2694,217,242,203,164,84,3,5,1013,371,370,144,232,113,138,94
320M300US4813700,4813700,"Big Spring, TX Micro Area; Texas",37676,104,31245,481,2059,282,398,80,312,65,152,170,2374,415,1136,301,438,150,698,231
320M300US4814300,4814300,"Bonham, TX Micro Area; Texas",33757,*****,29734,171,2283,67,114,35,175,42,20,20,556,156,875,120,65,43,810,110
320M300US4814420,4814420,"Borger, TX Micro Area; Texas",21782,*****,19371,396,494,120,262,108,138,24,15,24,774,325,728,184,102,67,626,184
320M300US4814780,4814780,"Brenham, TX Micro Area; Texas",34544,*****,26919,240,5851,268,242,177,684,19,35,50,401,228,412,319,55,50,357,316
320M300US4815180,4815180,"Brownsville-Harlingen, TX Metro Area; Texas",418785,*****,389429,1831,2361,330,902,247,2717,211,65,56,19550,1741,3761,638,2197,575,1564,407
320M300US4815220,4815220,"Brownwood, TX Micro Area; Texas",37935,*****,34794,294,1657,147,101,55,201,66,0,27,587,227,595,198,130,127,465,161
320M300US4817780,4817780,"College Station-Bryan, TX Metro Area; Texas",243850,*****,181659,1609,27666,594,1005,396,12729,250,97,50,13975,1600,6719,890,819,232,5900,867
320M300US4818580,4818580,"Corpus Christi, TX Metro Area; Texas",447102,*****,393995,2045,15574,426,2152,445,7572,385,244,56,18735,1656,8830,960,2808,606,6022,664
